id,nom_aliment,colonne,ancienne_valeur,nouvelle_valeur,unité,source_principale,source_secondaire,justification,niveau_de_confiance,date
20299,"Asperge verte, bouillie/cuite à l'eau",Vitamine_E_mg_100g,,1.5,mg/100g,"USDA FoodData Central (SR Legacy) — Asparagus, cooked, boiled, drained",,"Correspondance exacte : légume, cuisson bouillie, égoutté.",Élevé,2026-08-04
13004,"Avocat, chair sans peau, sans noyau, cru",Vitamine_E_mg_100g,,1.97,mg/100g,"USDA FoodData Central (SR Legacy) — Avocados, raw, California",,"Correspondance exacte : cru, chair.",Élevé,2026-08-04
13005,"Banane, chair sans peau, crue",Vitamine_E_mg_100g,,0.1,mg/100g,"USDA FoodData Central (SR Legacy) — Bananas, raw",,Correspondance exacte.,Élevé,2026-08-04
20003,"Betterave rouge, cuite",Vitamine_E_mg_100g,,0.04,mg/100g,"USDA FoodData Central (SR Legacy) — Beets, cooked, boiled, drained",,Correspondance exacte : cuisson bouillie = cuite.,Élevé,2026-08-04
20350,"Brocoli, bouilli/cuit à l'eau (aliment moyen)",Vitamine_E_mg_100g,,1.45,mg/100g,"USDA FoodData Central (SR Legacy) — Broccoli, cooked, boiled, drained",,Correspondance exacte.,Élevé,2026-08-04
20009,"Carotte, crue",Vitamine_E_mg_100g,,0.66,mg/100g,"USDA FoodData Central (SR Legacy) — Carrots, raw",,Correspondance exacte.,Élevé,2026-08-04
20056,"Champignon de Paris ou champignon de couche, cru",Vitamine_E_mg_100g,,0.01,mg/100g,"USDA FoodData Central (SR Legacy) — Mushrooms, white, raw",,Champignon de Paris = champignon blanc (Agaricus bisporus).,Élevé,2026-08-04
15047,"Chia, graine, séchée",Vitamine_E_mg_100g,,0.5,mg/100g,"USDA FoodData Central (SR Legacy) — Seeds, chia seeds, dried",,Correspondance exacte.,Élevé,2026-08-04
31074,"Chocolat noir 70 % de cacao environ, de dégustation, tablette",Vitamine_E_mg_100g,,0.59,mg/100g,"USDA FoodData Central (SR Legacy) — Chocolate, dark, 70-85% cacao solids",,Correspondance exacte sur le taux de cacao.,Élevé,2026-08-04
20014,"Chou rouge, cru",Vitamine_E_mg_100g,,0.11,mg/100g,"USDA FoodData Central (SR Legacy) — Cabbage, red, raw",,Correspondance exacte.,Élevé,2026-08-04
13009,"Citron, chair sans peau, sans pépins, cru",Vitamine_E_mg_100g,,0.15,mg/100g,"USDA FoodData Central (SR Legacy) — Lemons, raw, without peel",,Correspondance exacte : sans peau.,Élevé,2026-08-04
31037,Confiture d'abricot (extra ou classique),Vitamine_E_mg_100g,,0.13,mg/100g,"USDA FoodData Central (SR Legacy) — Jams and preserves, apricot",,Correspondance exacte.,Élevé,2026-08-04
20292,"Courge butternut (doubeurre), chair sans peau, cuite",Vitamine_E_mg_100g,,1.29,mg/100g,"USDA FoodData Central (SR Legacy) — Squash, winter, butternut, cooked, baked",,Correspondance exacte.,Élevé,2026-08-04
15064,"Courge, graine, séchée",Vitamine_E_mg_100g,,2.18,mg/100g,"USDA FoodData Central (SR Legacy) — Seeds, pumpkin and squash seed kernels, dried",,Correspondance exacte.,Élevé,2026-08-04
20021,"Courgette, chair et peau, cuite",Vitamine_E_mg_100g,,0.12,mg/100g,"USDA FoodData Central (SR Legacy) — Squash, summer, zucchini, includes skin, cooked",,Correspondance exacte : chair et peau incluses.,Élevé,2026-08-04
11089,"Curcuma, poudre",Vitamine_E_mg_100g,,4.43,mg/100g,"USDA FoodData Central (SR Legacy) — Spices, turmeric, ground",,Correspondance exacte sur la nature de l'épice ; valeur élevée mais cohérente pour une épice séchée concentrée — à confirmer par une 2e source dans un lot ultérieur.,Moyen,2026-08-04
13011,"Datte, chair et peau, sèche",Vitamine_E_mg_100g,,0.05,mg/100g,"USDA FoodData Central (SR Legacy) — Dates, deglet noor",,"Variété deglet noor la plus documentée, proxy raisonnable pour dattes séchées génériques.",Moyen,2026-08-04
11074,"Gingembre, racine fraîche",Vitamine_E_mg_100g,,0.26,mg/100g,"USDA FoodData Central (SR Legacy) — Ginger root, raw",,Correspondance exacte.,Élevé,2026-08-04
20502,"Haricot blanc, bouilli/cuit à l'eau",Vitamine_E_mg_100g,,0.94,mg/100g,"USDA FoodData Central (SR Legacy) — Beans, white, mature seeds, cooked, boiled",,Correspondance exacte.,Élevé,2026-08-04
20503,"Haricot rouge, bouilli",Vitamine_E_mg_100g,,0.03,mg/100g,"USDA FoodData Central (SR Legacy) — Beans, kidney, red, mature seeds, cooked, boiled",,Correspondance exacte.,Élevé,2026-08-04
20320,"Haricot vert, bouilli/cuit à l'eau",Vitamine_E_mg_100g,,0.46,mg/100g,"USDA FoodData Central (SR Legacy) — Beans, snap, green, cooked, boiled, drained",,Correspondance exacte.,Élevé,2026-08-04
17130,Huile de colza,Vitamine_E_mg_100g,,17.3,mg/100g,"USDA FoodData Central (SR Legacy) — Oil, canola",,"Colza = canola, même huile végétale.",Élevé,2026-08-04
17270,Huile d'olive vierge extra,Vitamine_E_mg_100g,,14.35,mg/100g,"USDA FoodData Central (SR Legacy) — Oil, olive, salad or cooking",,"Entrée Foundation ""extra virgin"" incomplète (valeur vide) ; proxy huile d'olive générique SR Legacy. Valeur cohérente avec la littérature nutritionnelle standard pour l'huile d'olive (~14 mg/100g), mais grade générique et non ""vierge extra"" spécifiquement — à recouper avec une 2e source dans un lot ultérieur.",Moyen,2026-08-04
13021,"Kiwi, chair sans peau, avec pépins, cru",Vitamine_E_mg_100g,,1.3,mg/100g,"USDA FoodData Central (SR Legacy) — Kiwifruit, green, raw",,Correspondance exacte.,Élevé,2026-08-04
19546,"Lait fermenté type yaourt au bifidus, nature",Vitamine_E_mg_100g,,0.06,mg/100g,"USDA FoodData Central (SR Legacy) — Yogurt, plain, whole milk",,Proxy yaourt nature générique (ferment bifidus non distingué dans la base USDA).,Moyen,2026-08-04
20360,"Lentille, bouillie/cuite à l'eau (aliment moyen)",Vitamine_E_mg_100g,,0.11,mg/100g,"USDA FoodData Central (SR Legacy) — Lentils, mature seeds, cooked, boiled, with salt",,"Correspondance exacte, aliment moyen.",Élevé,2026-08-04
20589,"Lentille corail, bouillie/cuite à l'eau",Vitamine_E_mg_100g,,0.11,mg/100g,"USDA FoodData Central (SR Legacy) — Lentils, mature seeds, cooked, boiled, with salt",,Proxy lentille générique (variété corail/rouge non distinguée séparément dans la base USDA ; teneur en vitamine E des légumineuses peu variable inter-variétés).,Moyen,2026-08-04
26051,"Maquereau, cru",Vitamine_E_mg_100g,,1.52,mg/100g,"USDA FoodData Central (SR Legacy) — Fish, mackerel, Atlantic, raw",,Correspondance exacte.,Élevé,2026-08-04
31008,Miel,Vitamine_E_mg_100g,,0.0,mg/100g,USDA FoodData Central (SR Legacy) — Honey,,Correspondance exacte ; valeur nulle biologiquement plausible (le miel ne contient pas de vitamine E significative).,Élevé,2026-08-04
15005,"Noix, cerneau, séchée",Vitamine_E_mg_100g,,0.7,mg/100g,"USDA FoodData Central (SR Legacy) — Nuts, walnuts, english",,Correspondance exacte.,Élevé,2026-08-04
22010,Oeuf dur,Vitamine_E_mg_100g,,1.03,mg/100g,"USDA FoodData Central (SR Legacy) — Egg, whole, cooked, hard-boiled",,Correspondance exacte.,Élevé,2026-08-04
22011,Oeuf poché,Vitamine_E_mg_100g,,1.04,mg/100g,"USDA FoodData Central (SR Legacy) — Egg, whole, cooked, poached",,Correspondance exacte.,Élevé,2026-08-04
13186,Olive noire (aliment moyen),Vitamine_E_mg_100g,,1.65,mg/100g,"USDA FoodData Central (SR Legacy) — Olives, ripe, canned (jumbo-super colossal)",,"Olive noire appertisée, variante de calibre différente mais même produit (olive mûre en conserve).",Moyen,2026-08-04
9322,"Orge perlée, bouilli/cuite à l'eau, sans sel ajouté",Vitamine_E_mg_100g,,0.01,mg/100g,"USDA FoodData Central (SR Legacy) — Barley, pearled, cooked",,Correspondance exacte.,Élevé,2026-08-04
7004,"Pain blanc, passé au grille-pain",Vitamine_E_mg_100g,,0.24,mg/100g,"USDA FoodData Central (SR Legacy) — Bread, white, commercially prepared, toasted",,Correspondance exacte : pain blanc grillé.,Élevé,2026-08-04
20325,"Panais, cuit à l'étouffée",Vitamine_E_mg_100g,,1.0,mg/100g,"USDA FoodData Central (SR Legacy) — Parsnips, cooked, boiled, drained, with salt",,Cuisson à l'étouffée vs bouillie : méthodes différentes mais toutes deux en milieu humide sans ajout de matière grasse — écart attendu négligeable pour une vitamine liposoluble non lessivable à l'eau.,Moyen,2026-08-04
11014,"Persil, frais",Vitamine_E_mg_100g,,0.75,mg/100g,"USDA FoodData Central (SR Legacy) — Parsley, fresh",,Correspondance exacte.,Élevé,2026-08-04
20507,"Pois chiche, bouilli/cuit à l'eau",Vitamine_E_mg_100g,,0.35,mg/100g,"USDA FoodData Central (SR Legacy) — Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled",,Correspondance exacte.,Élevé,2026-08-04
20087,"Poivron rouge, cru",Vitamine_E_mg_100g,,1.58,mg/100g,"USDA FoodData Central (SR Legacy) — Peppers, sweet, red, raw",,Correspondance exacte.,Élevé,2026-08-04
28203,"Porc, filet mignon cuit",Vitamine_E_mg_100g,,0.08,mg/100g,"USDA FoodData Central (SR Legacy) — Pork, fresh, loin, tenderloin, separable lean only, cooked, roasted",,"Correspondance exacte : filet mignon = tenderloin, cuisson rôtie compatible avec ""cuit"".",Élevé,2026-08-04
36041,"Poulet, filet, grillé/poêlé",Vitamine_E_mg_100g,,0.54,mg/100g,"USDA FoodData Central (SR Legacy) — Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled",,Correspondance exacte : filet sans peau grillé.,Élevé,2026-08-04
