nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g
"Abat, cuit (aliment moyen)",162,"6,24","2,13","1,64","0,44","0,033","0,0052","0,0068",322,"1,36","0,026","0,12","25,1","0,6","9,73","4,93","6,54","11,6","17,8","0,18",263,252,"24,5",244,"4,23",3450,"34,3","0,77","0,39","1,4",0,"10,3","0,2","1,34","9,44","2,89","0,52",238,"21,4"
Abondance,393,"31,6","20,1","6,41","0,53","0,27","0,02","0,01",106,0,"0,2",0,"27,1","1,73",760,"0,49","0,09",20,28,"0,02",570,120,20,690,"3,5",261,149,"0,25","0,75","2,25",0,"0,5","0,015","0,27","0,1","0,34","0,092","39,6","2,19"
"Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen)","69,05","0,25",0,0,0,0,0,0,0,"16,2","15,3","1,4","0,5","0,03",16,"0,04","0,13",10,"5,3","0,02",10,130,10,12,"0,06",0,"7,98",0,0,"0,4",0,"0,25","0,7","0,005","0,11","0,071","0,02","9,3",0
"Abricot au sirop léger, appertisé, égoutté","63,06","0,5",0,0,0,0,0,0,0,"13,7","13,3","1,4","0,94","0,024",18,"0,04","0,12",20,"4,9","0,03",11,140,20,"9,7","0,06",0,925,0,0,"0,8",0,"2,19","0,7","0,01","0,1","0,12","0,017","6,85",0
"Abricot au sirop léger, appertisé, non égoutté","59,627","0,043","0,003",0,0,0,0,0,0,14,14,"0,83","0,81","0,025","14,3","0,036","0,1",20,"4,74","0,026","9,25",136,20,"9,86","0,06",0,551,0,"0,6","0,8",0,"2,28","0,68","0,01","0,1","0,11","0,017","6,98",0
"Abricot au sirop, appertisé, égoutté","71,3","0,5",0,0,0,0,0,0,0,"16,2","15,3","1,4","0,5","0,03",16,"0,04","0,13",20,"5,3","0,02",10,130,20,12,"0,06",0,"7,98",0,0,"0,8",0,"0,5","0,7","0,01","0,11","0,071","0,02","9,3",0
"Abricot au sirop, appertisé, non égoutté","72,06","0,5",0,0,0,0,0,0,0,"16,6","15,1","0,81","0,29","0,03","11,3","0,036","0,11",20,"4,8","0,02","8,66",114,20,12,"0,035",0,114,0,0,"0,8",0,"0,5",0,"0,01","0,12","0,073","0,036","9,89",0
"Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique","55,22","0,1",0,0,0,0,0,0,0,"13,3","7,3","1,8","0,28",0,0,0,0,0,0,0,0,0,0,0,0,0,"25,2",0,0,0,0,0,0,0,0,0,0,0,0
"Abricot pays, pulpe, cru, prélevé à la Martinique","45,57","0,05",0,0,0,0,0,0,0,"10,8","3,7","3,1","0,48",0,0,"0,095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,7",0
"Abricot, dénoyauté, cru","45,9","0,5","0,01","0,01","0,01","0,01","0,01","0,01",0,"9,01","6,7","1,7","0,81","0,013",15,"0,06","0,19",20,"8,4","0,07",22,260,20,5,"0,09",0,2350,0,"0,7","0,8",0,"2,55","0,03","0,013","0,1","0,19","0,054","7,6",0
"Abricot, dénoyauté, sec",239,"0,5","0,19","0,12","0,09","0,06","0,01","0,01",0,"59,1","34,3","8,3","2,88","0,013",71,"0,45","1,4",20,41,"0,27",79,1400,20,5,"0,35",0,2160,"0,25","5,52","0,8",0,"0,5","0,015","0,01","1,12","0,69","0,48","8,85",0
"Abricot, dénoyauté, sec, moelleux (réhydraté à 35045%)",200,"0,4","0,16","0,11","0,05","0,03","0,01","0,01",0,"51,1","29,9","3,5","2,31","0,013",53,"0,29","0,86",20,32,"0,19",59,980,20,5,"0,3",0,"21,7","0,25","3,45","0,8",0,"0,5","0,015","0,01","0,46","0,43","0,51","7,59",0
Accra de poisson,275,"17,6","2,3","9,34","4,67","0,073","0,023","0,046","68,8","15,1","2,55",3,"12,4","1,24","55,3","0,1","1,1",20,18,"0,3",110,216,18,583,"0,8","7,5",0,"0,5","4,84",0,0,"0,5","0,064","0,1","1,1","0,35","0,19",33,"0,43"
"Agar (algue), cru","27,43","0,03","0,006",0,0,0,"0,008",0,0,"6,25","0,28","0,5","0,54","0,023",54,"0,061","1,86",0,67,"0,37",5,226,0,9,"0,58",0,0,0,"0,87","2,3",0,0,"0,005","0,022","0,055","0,3","0,032",85,0
"Agar (algue), séché","20,14","0,3","0,061",0,0,0,"0,087",0,0,0,"2,97",0,"4,36","0,13",658,"0,56","15,2",36000,770,"4,3",33,577,0,53,"3,4",0,0,0,5,"24,4",0,0,"0,01","0,22","0,2","3,02","0,3",580,0
"Agneau, collier, braisé ou bouilli",365,"25,6",0,0,0,0,0,0,93,0,0,0,"33,6",0,0,0,"0,66",0,0,0,0,0,"13,9",0,"7,14",0,0,0,"0,36",0,0,0,"0,1",0,"4,26","0,69","0,095",0,"2,06"
"Agneau, collier, cru",195,"13,7","5,79","3,98","0,5","0,091",0,0,0,0,0,0,18,"0,2",0,0,"1,14",0,0,0,0,0,"7,41","80,1","3,82",0,0,0,0,0,0,0,0,0,"4,27",0,"0,16",0,"2,18"
"Agneau, côte découverte, crue",205,15,"5,69","5,35","0,48","0,08","0,005",0,0,"1,38","0,5",0,"16,3","0,21",0,0,"1,58",0,0,0,0,0,"7,5",82,"3,77",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,77"
"Agneau, côte filet, crue",242,18,"7,75","5,04","0,69","0,12",0,0,0,"2,3",0,0,"17,6","0,18",9,0,"1,15",0,0,0,0,0,"5,7","69,6","2,08",0,0,0,0,0,0,0,0,0,"5,51",0,"0,23",0,"1,47"
"Agneau, côte filet, grillée/poêlée",157,"5,78","2,21","1,58","0,28","0,038",0,"0,0057",86,0,0,0,"26,3",0,0,0,"1,27",0,0,0,0,0,"10,1",0,"3,55",0,0,0,"0,16",0,0,0,"0,1",0,"6,72","0,62","0,3",0,"1,22"
"Agneau, côte ou côtelette, crue (aliment moyen)",273,"22,6","10,1","7,3","0,71","0,29",0,0,0,"0,92","0,063",0,"16,3","0,19","9,97",0,"1,34",0,0,0,0,0,"4,85","74,7","2,78",0,0,0,0,0,0,0,0,0,"4,98",0,"0,21",0,"1,52"
"Agneau, côte ou côtelette, cuite (aliment moyen)",157,"5,78","2,21","1,58","0,28","0,038",0,"0,0057",86,0,0,0,"26,3",0,0,0,"1,27",0,0,0,0,0,"10,1",0,"3,55",0,0,0,"0,16",0,0,0,"0,1",0,"6,72","0,62","0,3",0,"1,22"
"Agneau, côte ou côtelette, grillée/poêlée (aliment moyen)",157,"5,78","2,21","1,58","0,28","0,038",0,"0,0057",86,0,0,0,"26,3",0,0,0,"1,27",0,0,0,0,0,"10,1",0,"3,55",0,0,0,"0,16",0,0,0,"0,1",0,"6,72","0,62","0,3",0,"1,22"
"Agneau, côte première, crue",276,"23,1",10,"6,53","0,87","0,15",0,0,0,0,0,0,"16,9","0,2",8,0,"1,12",0,0,0,0,0,"4,81","81,2","1,84",0,0,0,0,0,0,0,0,0,"5,14",0,"0,21",0,"1,64"
"Agneau, côte première, grillée/poêlée",185,"9,01","3,67","2,58","0,39","0,06",0,"0,004",90,0,0,0,"26,1","0,18",22,"0,12","1,27",0,20,"0,019",166,271,"9,36",73,"3,43",0,0,0,"0,1",0,0,0,"0,1","0,21","6,64","0,7","0,28",15,"1,38"
"Agneau, côtelette, crue",368,"34,5","16,8","12,3","0,8","0,8",0,0,82,0,0,0,"14,4","0,17","12,9","0,12","1,5","0,7",17,"0,01",136,218,"1,4",66,"3,42",45,0,"0,4","0,7",0,0,1,"0,18","0,3","4,3","0,55","0,2","2,6","1,2"
"Agneau, côtelette, grillée",240,"15,2","6,52","4,19","0,35","0,11","0,014","0,014","48,9",0,0,0,"25,7","0,31","19,7","0,077",0,5,"20,1","0,0079",184,0,"9,97",0,"3,5","5,5",0,0,0,0,0,0,0,0,"7,45",0,0,0,"2,8"
"Agneau, épaule, crue",170,"10,6","3,87","4,04","0,34","0,057","0,005",0,"72,5","0,45","0,5",0,"18,3","0,2","12,7","0,11","1,63","0,7",19,"0,015",170,224,"7,53","78,8","3,43",45,0,"0,4","0,46","3,4",0,1,"0,15","0,26","4,98","0,62","0,17","10,8","1,65"
"Agneau, épaule, maigre, crue",139,"6,76","2,42",0,0,0,0,0,66,0,0,0,"19,6","0,18",15,"0,11","1,66",0,24,"0,024",184,274,0,70,"4,77",0,0,"0,1","0,22","3,4",0,0,"0,12","0,22","5,45","0,71","0,16",23,"2,78"
"Agneau, épaule, maigre, rôtie/cuite au four",197,"10,8","4,08",0,0,0,0,0,87,0,0,0,"24,9","0,17",19,"0,11","2,13",5,25,"0,026",200,265,6,68,"6,04",0,0,"0,1","0,18","4,5",0,0,"0,09","0,26","5,76","0,73","0,15",25,"2,7"
"Agneau, épaule, rôtie/cuite au four",252,"14,5","5,26",0,0,0,0,0,"99,8","0,1",0,0,"30,5","0,24","8,8","0,2","2,2","8,6","25,4","0,1",231,376,5,"95,5","4,7","7,5",0,"0,5","0,14","4,6",0,"6,9","0,064","0,3","7,2","0,3","0,21","24,2","2,72"
"Agneau, gigot, braisé",222,"9,03","3,46","2,6","0,45","0,067",0,"0,012",0,0,0,0,"35,2",0,0,0,"0,97",0,0,0,0,0,"13,6",0,"5,28",0,0,0,0,0,0,0,0,0,"6,52",0,"0,16",0,"1,88"
"Agneau, gigot, cru",128,"5,13","1,97","1,48","0,25","0,038",0,0,"72,7","0,48",0,0,20,"0,12",10,"0,12","1,51","0,7","21,9","0,015",177,255,"7,73","48,7",3,45,0,"0,4","0,46",0,0,1,"0,15","0,27","6,52","0,63","0,26","9,8","2,17"
"Agneau, gigot, grillé/poêlé",174,"7,08","2,63","1,98","0,34","0,051",0,"0,009",0,0,0,0,"27,6",0,0,0,"1,51",0,0,0,0,0,"10,7",0,"4,15",0,0,0,0,0,0,0,0,0,"6,52",0,"0,23",0,"1,88"
"Agneau, gigot, rôti/cuit au four",169,"6,85","2,63","1,98","0,34","0,051","0,0076","0,009","97,6",0,0,0,"26,8","0,19","21,8","0,12","1,4",5,"30,7","0,015",183,301,"10,3","75,5","4,01",0,0,0,"0,13",0,0,0,"0,1","0,28","6,52","0,83","0,24",17,"1,88"
