ciqual_code,nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g,Eau_g_100g,Fructose_g_100g,Galactose_g_100g,Glucose_g_100g,Lactose_g_100g,Maltose_g_100g,Saccharose_g_100g,Amidon_g_100g,Polyols_g_100g,Alcool_g_100g
40601,"Abat, cuit (aliment moyen)",159.0,4.58,1.54,0.99,0.21,0.012,0.0028,0.0077,322.0,2.18,0.12,0.45,27.4,0.97,9.21,3.3,7.85,18.2,18.9,0.12,236.0,261.0,29.7,396.0,4.88,2630.0,30.7,0.6,,,,8.85,0.19,1.08,7.86,2.33,0.43,168.0,22.7,64.1,,,,,,,0.45,0.0,0.0
12112,Abondance,393.0,31.6,20.1,6.41,0.53,0.27,0.02,0.01,106.0,0.0,0.2,0.083,27.1,1.73,760.0,0.49,0.09,20.0,28.0,0.02,570.0,120.0,20.0,690.0,3.5,261.0,149.0,0.25,0.28,2.25,,0.5,0.015,0.27,0.1,0.34,0.092,39.6,2.19,37.2,0.2,,0.2,0.2,0.2,0.2,0.0,0.0,0.0
13704,"Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen)",67.9,0.5,,,,,0.0,0.0,0.0,15.5,14.9,1.4,0.59,0.029,16.4,0.04,0.13,20.0,5.22,0.022,10.2,132.0,20.0,11.6,0.06,0.0,187.0,,,0.8,,0.63,0.7,0.01,0.097,0.081,0.019,,,81.4,5.78,,6.5,0.2,0.2,2.59,,0.41,0.0
13712,"Abricot au sirop léger, appertisé, égoutté",61.1,0.5,,,,,0.0,0.0,0.0,13.5,13.1,1.4,0.94,0.024,18.0,0.04,0.12,20.0,4.9,0.03,11.0,140.0,20.0,9.7,0.06,0.0,925.0,,,0.8,,2.19,0.7,0.01,0.1,0.12,0.017,,,83.0,3.65,,4.02,0.2,0.2,5.42,,0.39,0.0
13713,"Abricot au sirop léger, appertisé, non égoutté",62.5,0.043,0.003,,,,0.0,0.0,0.0,14.0,14.0,0.83,0.81,0.025,14.3,0.036,0.1,20.0,4.74,0.026,9.25,136.0,20.0,9.86,0.06,0.0,551.0,0.0,,0.8,,2.28,0.68,0.01,0.1,0.11,0.017,,0.0,83.5,3.71,,4.21,0.2,0.2,6.05,,,0.0
13714,"Abricot au sirop, appertisé, égoutté",69.6,0.5,,,,,0.0,0.0,0.0,16.0,15.3,1.4,0.5,0.03,16.0,0.04,0.13,20.0,5.3,0.02,10.0,130.0,20.0,12.0,0.06,0.0,7.98,,,0.8,,0.5,0.7,0.01,0.11,0.071,0.02,,,81.0,6.3,,7.1,0.2,0.2,1.9,,0.42,0.0
13715,"Abricot au sirop, appertisé, non égoutté",69.7,0.5,,,,,0.0,0.0,0.0,16.3,15.1,0.81,0.29,0.03,11.3,0.036,0.11,20.0,4.8,0.02,8.66,114.0,20.0,12.0,0.035,0.0,114.0,,,0.8,,0.5,,0.01,0.12,0.073,0.036,,,81.4,6.13,,7.06,0.2,0.084,1.8,,,0.0
13400,"Abricot pays, chair et peau, sans noyau, au sirop, appertisé, non égoutté, prélevé à la Martinique",55.2,0.1,,,,,0.0,0.0,0.0,13.3,7.3,1.8,0.28,,,,,,,,,,,,,0.0,25.2,,,,,0.0,,,,,,,,84.5,1.33,,1.2,,,4.77,,,0.0
13401,"Abricot pays, chair et peau, sans noyau, cru, prélevé à la Martinique",45.6,0.05,,,,,0.0,0.0,0.0,10.8,3.7,3.1,0.48,,,0.095,0.0,,,,,,,,,0.0,1094.0,,,,,,,,,,,,,85.4,1.4,,1.5,,,0.8,,,0.0
13000,"Abricot, dénoyauté, cru",44.1,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.0,9.01,6.7,1.7,0.81,0.013,15.0,0.06,0.19,20.0,8.4,0.07,22.0,260.0,20.0,5.0,0.09,0.0,2350.0,0.0,0.89,0.8,,2.55,0.03,0.013,0.1,0.19,0.054,9.0,0.0,87.1,1.3,0.0,2.0,0.2,0.2,3.4,0.35,0.5,0.0
